id	name	idmatch	namematch
18698	MAYER Éva	23895	Mayer Éva
18698	MAYER Éva	18690	Mayer Éva
11599	Leitner Levente	12670	LEITNER Levente
10887	Zalavári József	17430	ZALAVÁRI József
9595	Hugyecsek Balázs	8052	HUGYECSEK Balázs
9595	Hugyecsek Balázs	8090	HUGYECSEK BALÁZS
8758	Hámori Anett	14936	HÁMORI Anett
7937	Buda Gábor	10604	BUDA Gábor
6002	Sirály Dóri	9679	Sirály dóri
5034	Rieder Gábor	14829	RIEDER Gábor
4119	Nagy Andrea	5391	NAGY ANDREA
3872	Ferenczy Béni	15216	FERENCZY Béni
3559	Kisspál Szabolcs	12204	KISSPÁL Szabolcs
3559	Kisspál Szabolcs	8269	KIssPál Szabolcs
1660	Méhes László	16035	MÉHES László
426	feLugossy László	15748	felugossy László
19584	Varga Bertalan	15467	VARGA Bertalan
13926	Balázs Anna	12677	BALÁZS Anna
9511	Fillér Máté	12259	FILLÉR Máté
9150	Gyarmathy Tihamér	3703	GYARMATHY TIHAMÉR
7350	Rechnitzer Zsófia	8092	RECHNITZER ZSÓFIA
7323	Blazsek András	16363	BLAZSEK András
6303	Podmaniczky Ágnes	13653	PODMANICZKY Ágnes
4519	Verebes György	6007	VEREBES György
4294	Kecskeméti Sándor	17411	KECSKEMÉTI Sándor
3428	Lugossy Mária	6489	LUGOSSY Mária
2949	Esterházy Péter	14031	ESTERHÁZY Péter
2586	Gulácsy Lajos	14935	GULÁCSY Lajos
70	Nagy Tamás	2398	NAGY TAMÁS
15977	Gyenes Zsolt	10092	GYENES ZSOLT
12013	Lois Viktor	8465	LOIS Viktor
9257	Nagy István	14947	NAGY István
8429	Czank Ninetta	11061	CZANK Ninetta
8286	Nagy Benjámin	16263	NAGY Benjámin
6795	Ézsiás István	8576	ÉZSIÁS ISTVÁN
6795	Ézsiás István	6177	ÉZSIÁS István
6704	Sara Berti	11582	SARA BERTI
5420	Orbán Gergely Kristóf	12206	ORBÁN Gergely Kristóf
5207	Minyó Szert	10106	MINYÓ Szert
5082	Blaha Tamás	5898	BLAHA TAMÁS
4703	Dóró Sándor	12079	DÓRÓ SÁNDOR
4669	Bohus Zoltán	6488	BOHUS Zoltán
4552	Halász Péter	4631	HALÁSZ Péter
3418	Záborszky Gábor	11552	ZÁBORSZKY GÁBOR
2950	SI-LA-GI	15480	SI-la-gi
606	Kuchta Klára	17198	KUCHTA Klára
521	Pócsy Ferenc	8467	PÓCSY Ferenc
91	Füredi Tamás	4627	FÜREDI Tamás
91	Füredi Tamás	2760	FÜREDI TAMÁS
71	Turányi Gábor	2399	TURÁNYI GÁBOR
23754	Kokesch Ádám	15867	kokesch ádám
18683	Esse Bánki Ákos	16739	ESSE BÁNKI ÁKOS
